Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS19	SBS31	SBS87
TCGA-WE-A8ZQ	8	42	55	93	0	0	0	0	0
TCGA-WE-A8ZT	21	29	224	283	0	0	0	0	0
TCGA-WE-A8ZX	18	51	403	218	0	0	0	0	0
TCGA-WE-A8ZY	14	33	120	120	0	0	0	0	0
TCGA-WE-AA9Y	3	0	40	37	0	0	0	0	0
TCGA-WE-AAA0	42	48	700	932	0	0	0	0	0
TCGA-WE-AAA3	11	7	207	157	67	0	0	0	0
TCGA-WE-AAA4	5	4	89	122	45	0	0	0	0
TCGA-XV-AB01	15	24	79	75	27	0	0	0	0
TCGA-YD-A89C	70	76	986	926	0	0	0	0	0
TCGA-YD-A9TA	151	113	2096	1626	0	0	0	0	0
TCGA-YD-A9TB	10	20	202	117	54	0	0	0	0
TCGA-YG-AA3O	54	34	646	602	0	0	0	0	0
TCGA-YG-AA3P	11	46	0	0	0	0	0	21	0
TCGA-Z2-A8RT	90	0	1939	1470	0	0	0	0	0
TCGA-Z2-AA3S	11	5	118	121	0	0	0	0	0
TCGA-Z2-AA3V	30	13	218	256	0	0	0	0	0
